consensus,genres,score,title
"Fueled by powerful acting and a taut, patiently constructed narrative,  99 Homes  is a modern economic parable whose righteous fury is matched by its intelligence and compassion.",,92,99 Homes
Slow West  serves as an impressive calling card for first-time writer-director John M. Maclean -- and offers an inventive treat for fans of the Western.,,93,Slow West
"Boasting a stellar performance from Lily Tomlin and some powerfully empathetic work from writer-director Paul Weitz,  Grandma  is a dramedy that shouldn't have to ask you to visit.",,92,Grandma
"The Wrecking Crew  may not achieve the greatness of the many classic songs its subjects helped bring to life, but it remains a heartfelt, overdue tribute to overshadowed brilliance.",,94,The Wrecking Crew
"Warm, funny, and quietly profound,  Appropriate Behavior  serves as a thoroughly compelling calling card for writer, director, and star Desiree Akhavan.",,96,Appropriate Behavior
"Smart, fascinating, and funny,  Best of Enemies  takes a penetrating -- and wildly entertaining -- look back at the dawn of pundit politics.",,94,Best Of Enemies
"As unconventional and unwieldy as the life and legacy it honors,  Love & Mercy  should prove moving for Brian Wilson fans while still satisfying neophytes.",,91,Love & Mercy
"While the work it honors may pose thorny ethical questions that  Salt of the Earth  neglects to answer, it remains a shattering, thought-provoking testament to Sebastião Salgado's career.",,95,The Salt of the Earth
"Powerfully acted and smartly scripted,  Girlhood  offers a fresh perspective on familiar cinematic territory.",,96,Girlhood
"The Gift  is wickedly smart and playfully subversive, challenging the audience's expectations while leaving them leaning on the edges of their seats.",,92,The Gift
"The Second Mother 's compelling characters serve an artfully drawn, thought-provoking story that's beautifully brought to life by a talented cast.",,96,The Second Mother (Que Horas Ela Volta?)
"Led by an outstanding performance from Jacir Eid Al-Hwietat in the title role,  Theeb  is a startlingly assured first effort from director/co-writer Naji Abu Nowar.",,97,Theeb
"Boldly unconventional and refreshingly honest,  Diary of a Teenage Girl  is a frank coming-of-age story that addresses its themes -- and its protagonist -- without judgment.",,93,The Diary Of A Teenage Girl
"As disturbing as it is thought-provoking,  Welcome to Leith  offers an uncomfortable -- and essential -- glimpse into a part of society many Americans would much rather ignore.",,98,Welcome To Leith
"As bizarrely hilarious as it is insightful, Finders Keepers is a stranger-than-fiction gem of a documentary that transcends its oddball trappings.",,98,Finders Keepers
"Of a piece with much of director Laurie Anderson's idiosyncratic output,  Heart of a Dog  delves into weighty themes with lyrical, haunting grace.",,97,Heart of a Dog
Jafar Panahi's Taxi  offers another round of trenchant societal commentary from a director whose entire filmography stands as a daring act of dissent.,,96,Jafar Panahi's Taxi
"The Big Short  approaches a serious, complicated subject with an impressive attention to detail -- and manages to deliver a well-acted, scathingly funny indictment of its real-life villains in the bargain.",,88,The Big Short
"Essential viewing for cineastes while still offering rich rewards for neophytes,  Hitchcock/Truffaut  offers an affectionate -- and well-crafted -- tribute to a legend.",,96,Hitchcock/Truffaut
"Wickedly hilarious and delightfully deranged,  Wild Tales  is a subversive satire that doubles as a uniformly entertaining anthology film.",,95,Wild Tales
"Fun and fascinating,  Red Army  delivers absorbing documentary drama for hockey fans and sports novices alike.",,97,Red Army
